iter	Passed	Remaining
0	0	763
1	1	662
2	1	619
3	2	599
4	2	582
5	3	569
6	3	559
7	4	552
8	4	546
9	5	543
10	6	540
11	6	536
12	7	533
13	7	531
14	8	528
15	8	525
16	9	522
17	9	520
18	10	518
19	10	516
20	11	516
21	11	516
22	12	514
23	12	513
24	13	512
25	13	511
26	14	510
27	14	508
28	15	507
29	15	506
30	16	505
31	16	504
32	17	503
33	17	502
34	18	501
35	18	502
36	19	502
37	19	501
38	20	500
39	20	500
40	21	499
41	21	499
42	22	498
43	22	498
44	23	497
45	23	496
46	24	495
47	24	495
48	25	495
49	26	494
50	26	493
51	27	492
52	27	492
53	28	491
54	28	490
55	29	489
56	29	489
57	30	488
58	30	488
59	31	487
60	31	489
61	32	488
62	32	487
63	33	487
64	33	486
65	34	485
66	34	484
67	35	484
68	35	483
69	36	482
70	36	481
71	37	481
72	37	480
73	38	479
74	38	479
75	39	479
76	39	478
77	40	478
78	40	477
79	41	477
80	41	476
81	42	475
82	42	472
83	43	472
84	43	471
85	44	470
86	44	472
87	45	471
88	46	471
89	46	471
90	47	470
91	47	470
92	48	470
93	48	469
94	49	469
95	49	468
96	50	468
97	50	467
98	51	466
99	51	466
100	52	465
101	52	465
102	53	465
103	53	464
104	54	464
105	54	463
106	55	463
107	56	462
108	56	461
109	57	461
110	57	461
111	58	460
112	58	460
113	59	459
114	59	458
115	60	458
116	60	457
117	61	456
118	61	455
119	62	455
120	62	454
121	63	453
122	63	453
123	64	452
124	64	452
125	65	451
126	65	450
127	66	450
128	66	449
129	67	449
130	67	448
131	68	448
132	68	447
133	69	446
134	69	446
135	70	445
136	70	445
137	71	445
138	71	445
139	72	444
140	72	444
141	73	442
142	73	442
143	74	442
144	74	441
145	75	441
146	75	440
147	76	440
148	77	439
149	77	439
150	78	438
151	78	438
152	79	437
153	79	437
154	80	436
155	80	436
156	81	435
157	81	435
158	82	434
159	82	434
160	83	433
161	83	432
162	84	432
163	84	432
164	85	431
165	85	431
166	86	431
167	87	430
168	87	430
169	88	430
170	88	429
171	89	429
172	89	428
173	90	428
174	90	427
175	91	427
176	91	426
177	92	426
178	92	426
179	93	425
180	94	425
181	94	425
182	95	424
183	95	424
184	96	424
185	96	423
186	97	423
187	97	423
188	98	422
189	99	422
190	99	422
191	100	421
192	100	420
193	101	420
194	101	420
195	102	419
196	102	419
197	103	418
198	103	418
199	104	417
200	104	417
201	105	416
202	105	416
203	106	415
204	107	415
205	107	414
206	108	414
207	108	414
208	109	414
209	110	413
210	110	413
211	111	412
212	111	412
213	112	411
214	112	411
215	113	410
216	113	410
217	114	409
218	114	409
219	115	408
220	115	408
221	116	407
222	116	407
223	117	406
224	117	406
225	118	405
226	119	405
227	119	404
228	120	404
229	120	403
230	121	403
231	121	402
232	122	402
233	122	401
234	123	401
235	123	400
236	124	400
237	124	399
238	125	399
239	125	398
240	126	398
241	126	397
242	127	397
243	128	396
244	128	396
245	129	395
246	129	395
247	130	394
248	130	394
249	131	393
250	131	393
251	132	392
252	132	392
253	133	391
254	133	390
255	134	390
256	134	389
257	135	389
258	136	389
259	136	389
